Angle 1    | X_1         | Y_1          | Angle 2     | X_2         | Y_2         | Frame # 
10.943469  | 738.984009  | 921.132141  | 65.607903  | 921.132141  | 540.777222  | 72
10.786187  | 738.714478  | 917.336670  | 63.266830  | 917.336670  | 548.200439  | 73
10.756225  | 738.663086  | 913.352539  | 60.861740  | 913.352539  | 555.626770  | 74
10.860821  | 738.842407  | 909.167603  | 58.388973  | 909.167603  | 563.038757  | 75
11.107633  | 739.265259  | 904.768066  | 55.844212  | 904.768066  | 570.415710  | 76
11.504704  | 739.944824  | 900.138062  | 53.222473  | 900.138062  | 577.732727  | 77
12.060349  | 740.894165  | 895.259399  | 50.518150  | 895.259399  | 584.959595  | 78
12.782848  | 742.125671  | 890.110962  | 47.725155  | 890.110962  | 592.059082  | 79
13.679860  | 743.649658  | 884.668701  | 44.837250  | 884.668701  | 598.985718  | 80
14.757305  | 745.472534  | 878.905701  | 41.848713  | 878.905701  | 605.683167  | 81
16.017467  | 747.593018  | 872.792725  | 38.755497  | 872.792725  | 612.082642  | 82
17.456009  | 749.997314  | 866.300171  | 35.557095  | 866.300171  | 618.102051  | 83
19.057777  | 752.652161  | 859.402161  | 32.259178  | 859.402161  | 623.647461  | 84
20.792095  | 755.497803  | 852.082886  | 28.876640  | 852.082886  | 628.619751  | 85
22.609602  | 758.445007  | 844.344482  | 25.435673  | 844.344482  | 632.928223  | 86
24.444035  | 761.380432  | 836.213623  | 21.972773  | 836.213623  | 636.508911  | 87
26.221155  | 764.183716  | 827.741516  | 18.529263  | 827.741516  | 639.341797  | 88
27.872101  | 766.749939  | 818.995850  | 15.143041  | 818.995850  | 641.454651  | 89
29.344276  | 769.005615  | 810.048035  | 11.841913  | 810.048035  | 642.912598  | 90
30.604961  | 770.911621  | 800.962097  | 8.641562  | 800.962097  | 643.799316  | 91
31.638556  | 772.455872  | 791.790039  | 5.547485  | 791.790039  | 644.200684  | 92
32.441303  | 773.643555  | 782.571289  | 2.558455  | 782.571289  | 644.194763  | 93
33.016415  | 774.487915  | 773.334839  | -0.330340  | 773.334839  | 643.848145  | 94
33.370598  | 775.005249  | 764.101929  | -3.125110  | 764.101929  | 643.215576  | 95
33.511982  | 775.211121  | 754.888184  | -5.832164  | 754.888184  | 642.341797  | 96
33.448963  | 775.119385  | 745.705200  | -8.457216  | 745.705200  | 641.262939  | 97
33.189659  | 774.741211  | 736.562012  | -11.005075  | 736.562012  | 640.008362  | 98
32.741688  | 774.085266  | 727.465637  | -13.479530  | 727.465637  | 638.602417  | 99
32.112114  | 773.157776  | 718.421814  | -15.883354  | 718.421814  | 637.065125  | 100
31.307495  | 771.963074  | 709.435242  | -18.218355  | 709.435242  | 635.413452  | 101
30.333942  | 770.503906  | 700.510010  | -20.485453  | 700.510010  | 633.661865  | 102
29.197199  | 768.781677  | 691.649536  | -22.684765  | 691.649536  | 631.822754  | 103
27.902706  | 766.797180  | 682.857056  | -24.815689  | 682.857056  | 629.906860  | 104
26.455660  | 764.550537  | 674.135193  | -26.876993  | 674.135193  | 627.923767  | 105
24.861046  | 762.041931  | 665.486633  | -28.866886  | 665.486633  | 625.881714  | 106
23.123657  | 759.271667  | 656.913818  | -30.783100  | 656.913818  | 623.788086  | 107
21.248100  | 756.240723  | 648.419067  | -32.622963  | 648.419067  | 621.649292  | 108
19.238779  | 752.950562  | 640.004822  | -34.383461  | 640.004822  | 619.470703  | 109
17.099869  | 749.403809  | 631.673706  | -36.061310  | 631.673706  | 617.256897  | 110
14.835272  | 745.604065  | 623.428528  | -37.653000  | 623.428528  | 615.011597  | 111
12.448572  | 741.556335  | 615.272583  | -39.154865  | 615.272583  | 612.737427  | 112
9.942975  | 737.266785  | 607.209717  | -40.563118  | 607.209717  | 610.436035  | 113
7.321245  | 732.743225  | 599.244507  | -41.873909  | 599.244507  | 608.107849  | 114
4.585645  | 727.994934  | 591.382568  | -43.083351  | 591.382568  | 605.752075  | 115
1.737878  | 723.032715  | 583.630798  | -44.187569  | 583.630798  | 603.366333  | 116
-1.220957  | 717.869202  | 575.997498  | -45.182743  | 575.997498  | 600.946899  | 117
-4.290387  | 712.518860  | 568.492981  | -46.065166  | 568.492981  | 598.487732  | 118
-7.470542  | 706.998352  | 561.129822  | -46.831310  | 561.129822  | 595.980896  | 119
-10.762067  | 701.326904  | 553.923462  | -47.477951  | 553.923462  | 593.415894  | 120
-14.165931  | 695.526917  | 546.892456  | -48.002350  | 546.892456  | 590.779114  | 121
-17.683065  | 689.624878  | 540.059326  | -48.402542  | 540.059326  | 588.053711  | 122
-21.313761  | 683.652527  | 533.450867  | -48.677780  | 533.450867  | 585.218994  | 123
-25.056728  | 677.648438  | 527.098389  | -48.829205  | 527.098389  | 582.250061  | 124
-28.907722  | 671.659973  | 521.037292  | -48.860783  | 521.037292  | 579.118103  | 125
-32.857742  | 665.744507  | 515.306335  | -48.780514  | 515.306335  | 575.791077  | 126
-36.890984  | 659.970581  | 509.944275  | -48.601757  | 509.944275  | 572.235718  | 127
-40.983162  | 654.416260  | 504.985870  | -48.344273  | 504.985870  | 568.420898  | 128
-45.101200  | 649.164551  | 500.455566  | -48.034267  | 500.455566  | 564.322876  | 129
-49.205345  | 644.294434  | 496.361725  | -47.702751  | 496.361725  | 559.930420  | 130
-53.253845  | 639.870605  | 492.693420  | -47.382137  | 492.693420  | 555.248169  | 131
-57.208767  | 635.935059  | 489.421631  | -47.102039  | 489.421631  | 550.296936  | 132
-61.040646  | 632.503662  | 486.504852  | -46.885895  | 486.504852  | 545.109619  | 133
-64.730324  | 629.569153  | 483.896057  | -46.749531  | 483.896057  | 539.725708  | 134
-68.268166  | 627.107300  | 481.548889  | -46.701603  | 481.548889  | 534.185913  | 135
-71.651810  | 625.083862  | 479.421448  | -46.745090  | 479.421448  | 528.528198  | 136
-74.883698  | 623.460144  | 477.477722  | -46.879032  | 477.477722  | 522.786133  | 137
-77.969009  | 622.196533  | 475.687958  | -47.099983  | 475.687958  | 516.988281  | 138
-80.914246  | 621.254700  | 474.027924  | -47.403111  | 474.027924  | 511.158447  | 139
-83.726273  | 620.598877  | 472.478088  | -47.782898  | 472.478088  | 505.316193  | 140
-86.411819  | 620.196045  | 471.022705  | -48.233597  | 471.022705  | 499.477539  | 141
-88.977196  | 620.015930  | 469.649139  | -48.749489  | 469.649139  | 493.655548  | 142
-91.428185  | 620.031067  | 468.347229  | -49.325031  | 468.347229  | 487.861023  | 143
-93.769989  | 620.216370  | 467.108673  | -49.954933  | 467.108673  | 482.102875  | 144
-96.007286  | 620.549133  | 465.926727  | -50.634182  | 465.926727  | 476.388397  | 145
-98.144241  | 621.008545  | 464.795837  | -51.358055  | 464.795837  | 470.723755  | 146
-100.184593  | 621.575684  | 463.711456  | -52.122116  | 463.711456  | 465.114105  | 147
-102.131691  | 622.233276  | 462.669769  | -52.922203  | 462.669769  | 459.563843  | 148
-103.988564  | 622.965576  | 461.667572  | -53.754414  | 461.667572  | 454.076691  | 149
-105.757950  | 623.758240  | 460.702179  | -54.615089  | 460.702179  | 448.655914  | 150
-107.442368  | 624.598083  | 459.771271  | -55.500809  | 459.771271  | 443.304291  | 151
-109.044121  | 625.473267  | 458.872833  | -56.408363  | 458.872833  | 438.024384  | 152
-110.565369  | 626.372803  | 458.005127  | -57.334755  | 458.005127  | 432.818390  | 153
-112.008133  | 627.286926  | 457.166565  | -58.277180  | 457.166565  | 427.688293  | 154
-113.374313  | 628.206726  | 456.355774  | -59.233021  | 456.355774  | 422.635925  | 155
-114.665733  | 629.124207  | 455.571411  | -60.199837  | 455.571411  | 417.662903  | 156
